Harvest ,Species,Treatment ,Tag,Pot,Week,Height
2,VS,16%,H2VS16,108,4,31
2,VS,16%,H2VS16,111,4,49
2,VE,4%,H2VE4,91,4,41
2,VE,4%,H2VE4,93,4,32
2,VE,4%,H2VE4,108,4,56
2,VE,4%,H2VE4,134,4,51
2,VE,4%,H2VE4,157,4,44
2,VE,4%,H2VE4,197,4,15
2,VE,4%,H2VE4,198,4,30
2,VE,4%,H2VE4,199,4,31
2,VE,4%,H2VE4,201,4,40
2,VE,4%,H2VE4,208,4,31
2,VE,4%,H2VE4,227,4,0
2,VE,4%,H2VE4,340,4,0
2,VE,8%,H2VE8,120,4,41
2,VE,8%,H2VE8,128,4,41
2,VE,8%,H2VE8,139,4,31
2,VE,8%,H2VE8,143,4,46
2,VE,8%,H2VE8,145,4,41
2,VE,8%,H2VE8,152,4,20
2,VE,8%,H2VE8,158,4,40
2,VE,8%,H2VE8,190,4,40
2,VE,8%,H2VE8,195,4,24
2,VE,8%,H2VE8,207,4,35
2,VE,8%,H2VE8,278,4,0
2,VE,16%,H2VE16,107,4,51
2,VE,16%,H2VE16,122,4,56
2,VE,16%,H2VE16,142,4,40
2,VE,16%,H2VE16,162,4,41
2,VE,16%,H2VE16,164,4,30
2,VE,16%,H2VE16,167,4,20
2,VE,16%,H2VE16,176,4,30
2,VE,16%,H2VE16,178,4,39
2,VE,16%,H2VE16,180,4,22
2,VE,16%,H2VE16,185,4,26
2,VE,16%,H2VE16,186,4,20
2,VE,16%,H2VE16,238,4,0
3,VS,8%,H3VS8,41,13,285
3,VS,8%,H3VS8,41,14,298
3,VS,8%,H3VS8,41,15,348
3,VS,8%,H3VS8,55,1,23
3,VS,8%,H3VS8,55,2,24
3,VS,8%,H3VS8,55,3,30
3,VS,8%,H3VS8,55,4,30
3,VS,8%,H3VS8,55,5,30
3,VS,8%,H3VS8,55,6,45
3,VS,8%,H3VS8,55,7,40
3,VS,8%,H3VS8,55,8,43
3,VS,8%,H3VS8,55,9,70
3,VS,8%,H3VS8,55,10,67
3,VS,8%,H3VS8,55,11,90
3,VS,8%,H3VS8,55,12,93
3,VS,8%,H3VS8,55,13,105
3,VS,8%,H3VS8,55,14,114
3,VS,8%,H3VS8,55,15,137
3,VS,8%,H3VS8,58,1,38
3,VS,8%,H3VS8,58,2,42
3,VS,8%,H3VS8,58,3,44
3,VS,8%,H3VS8,58,4,52
3,VS,8%,H3VS8,58,5,55
3,VS,8%,H3VS8,58,6,52
3,VS,8%,H3VS8,58,7,59
